,timestamp,photoIndex,V,geometry,pictureUrl
36814,1496843359.67,108.0,86.1352435167,POINT (-73.97175045500001 40.651358445),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e47f1_5938486227752.jpg
37122,1496843362.66,109.0,121.396897983,POINT (-73.97186598499999 40.65142833),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5e07e_593848648ee2d.jpg
37431,1496843365.65,110.0,105.0015828,POINT (-73.97201866 40.65149092999999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7ca22_5938486dd88bd.jpg
37727,1496843368.65,111.0,65.4049500413,POINT (-73.97216388000001 40.65156014),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_11676_59384865811ac.jpg
38036,1496843371.65,112.0,137.394325777,POINT (-73.97229877000001 40.65164076),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_4e181_59384865cb251.jpg
38361,1496843374.65,113.0,101.615176881,POINT (-73.97238817 40.65173863),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_83e80_59384867dc564.jpg
38647,1496843377.65,114.0,62.5712972064,POINT (-73.97245013 40.651856575),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_c007f_5938486966781.jpg
38949,1496843380.65,115.0,77.6271258002,POINT (-73.97250708 40.651979765),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d5851_5938486a60bed.jpg
39286,1496843383.65,116.0,28.7547371987,POINT (-73.972556735 40.65210037),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5670e_5938486b24fb1.jpg
39558,1496843386.66,117.0,25.7719116017,POINT (-73.97259728500001 40.65224849000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7d2fd_5938486dac61d.jpg
39765,1496843388.66,118.0,28.5890455575,POINT (-73.97261318 40.65233986),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_248b3_5938486f1370a.jpg
40071,1496843391.64,119.0,44.562768127,POINT (-73.97266360500001 40.65246768),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_a9641_5938486f73b53.jpg
